title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
반팔라운드 <b>딸기케이크</b> 카페 사랑해 그림 전사이즈 (WFIX59I),http://www.ssg.com/item/itemView.ssg?itemId=1000728508185&siteNo=6001&salestrNo=6005&ckwhere=ssg_naver&appPopYn=n&utm_medium=PCS&utm_source=naver&utm_campaign=naver_pcs,https://shopping-phinf.pstatic.net/main_5691061/56910613215.jpg,38300,,SSG닷컴,56910613215,2,,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
후드티 전사이즈 <b>딸기케이크</b> 카페 사랑해 디자인 (WFHM93F),http://shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000686162117&siteNo=6004&salestrNo=6005&ckwhere=s_naver&appPopYn=n&utm_medium=PCS&utm_source=naver&utm_campaign=naver_pcs,https://shopping-phinf.pstatic.net/main_5421551/54215511424.jpg,69300,,신세계몰,54215511424,2,,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
후드티 전사이즈 <b>딸기케이크</b> 카페 사랑해 디자인 (WFHM93F),http://www.ssg.com/item/itemView.ssg?itemId=1000686162117&siteNo=6001&salestrNo=6005&ckwhere=ssg_naver&appPopYn=n&utm_medium=PCS&utm_source=naver&utm_campaign=naver_pcs,https://shopping-phinf.pstatic.net/main_5421556/54215568961.jpg,69300,,SSG닷컴,54215568961,2,,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
후드티 <b>딸기케이크</b> 카페 사랑해그림 다양한 색상 사이즈,http://shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000716301652&siteNo=6004&salestrNo=6005&ckwhere=s_naver&appPopYn=n&utm_medium=PCS&utm_source=naver&utm_campaign=naver_pcs,https://shopping-phinf.pstatic.net/main_5631928/56319287760.jpg,59220,,신세계몰,56319287760,2,,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
후드티 <b>딸기케이크</b> 카페 사랑해그림 다양한 색상 사이즈,http://www.ssg.com/item/itemView.ssg?itemId=1000716301652&siteNo=6001&salestrNo=6005&ckwhere=ssg_naver&appPopYn=n&utm_medium=PCS&utm_source=naver&utm_campaign=naver_pcs,https://shopping-phinf.pstatic.net/main_5631925/56319250522.jpg,59220,,SSG닷컴,56319250522,2,,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
후드티 <b>딸기케이크</b> 카페 사랑해그림 다양한 색상 사이즈,http://shinsegaemall.ssg.com/item/itemView.ssg?itemId=1000716493165&siteNo=6004&salestrNo=6005&ckwhere=s_naver&appPopYn=n&utm_medium=PCS&utm_source=naver&utm_campaign=naver_pcs,https://shopping-phinf.pstatic.net/main_5629774/56297744597.2.jpg,56410,,신세계몰,56297744597,2,,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
후드티 <b>딸기케이크</b> 카페 사랑해그림 다양한 색상 사이즈,http://www.ssg.com/item/itemView.ssg?itemId=1000716493165&siteNo=6001&salestrNo=6005&ckwhere=ssg_naver&appPopYn=n&utm_medium=PCS&utm_source=naver&utm_campaign=naver_pcs,https://shopping-phinf.pstatic.net/main_5629773/56297733270.2.jpg,56410,,SSG닷컴,56297733270,2,,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
투썸플레이스 생<b>딸기</b> 생크림 <b>케이크</b> 피스 + <b>딸기</b> 듬뿍 라떼 R,https://search.shopping.naver.com/catalog/58392960834,https://shopping-phinf.pstatic.net/main_5839296/58392960834.20260105161012.jpg,13160,,네이버,58392960834,1,투썸플레이스,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
(스타벅스) 카페 아메리카노 T 2잔 + <b>딸기</b> 촉촉 초코 생크림 <b>케이크</b>,https://smartstore.naver.com/main/products/11378524604,https://shopping-phinf.pstatic.net/main_8892303/88923034969.jpg,16200,,기프티콘마켓,88923034969,2,스타벅스,스타벅스,여가/생활편의,생활편의,e쿠폰,카페/베이커리
투썸플레이스 <b>딸기</b>생크림 2호,https://search.shopping.naver.com/catalog/23995509525,https://shopping-phinf.pstatic.net/main_2399550/23995509525.20200901172851.jpg,37990,,네이버,23995509525,1,투썸플레이스,투썸플레이스,여가/생활편의,생활편의,e쿠폰,카페/베이커리
할리스 아메리카노 R 2잔 + 티아라 <b>딸기</b> 생크림,https://search.shopping.naver.com/catalog/55522183497,https://shopping-phinf.pstatic.net/main_5552218/55522183497.20250627174912.jpg,46400,,네이버,55522183497,1,할리스,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
커피빈 흑임자 크럼블 크림 라떼 S 2잔 + <b>딸기</b> 초코생크림 <b>케익</b>,https://search.shopping.naver.com/catalog/58074879587,https://shopping-phinf.pstatic.net/main_5807487/58074879587.20251209121537.jpg,22100,,네이버,58074879587,1,커피빈,커피빈,여가/생활편의,생활편의,e쿠폰,카페/베이커리
[기프티쇼] 스타벅스 [베리베리세트] 스타벅스 <b>딸기</b> 라떼 T 2잔 + <b>딸기</b> 촉촉 초코 생크림 <b>케이크</b>,https://smartstore.naver.com/main/products/11502878511,https://shopping-phinf.pstatic.net/main_8904738/89047388876.jpg,21300,,Giftishow,89047388876,2,스타벅스,스타벅스,여가/생활편의,생활편의,e쿠폰,카페/베이커리
[선물하기] 파리크라상 <b>딸기</b> 레어 치즈 타르트,https://smartstore.naver.com/main/products/12940303444,https://shopping-phinf.pstatic.net/main_9048481/90484814454.jpg,52470,,BCON,90484814454,2,파리크라상,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
뚜레쥬르 <b>딸기</b>몽마르뜨 1호,https://search.shopping.naver.com/catalog/40189398622,https://shopping-phinf.pstatic.net/main_4018939/40189398622.20230523175722.jpg,28710,,네이버,40189398622,1,뚜레쥬르,,여가/생활편의,생활편의,e쿠폰,카페/베이커리
[바로콘] 스타벅스 바닐라 라떼 T 2잔 + <b>딸기</b> 촉촉 초코 생크림 <b>케이크</b> 기프티콘,https://smartstore.naver.com/main/products/12831396309,https://shopping-phinf.pstatic.net/main_9037590/90375907301.jpg,17760,,바로콘,90375907301,2,스타벅스,스타벅스,여가/생활편의,생활편의,e쿠폰,카페/베이커리
